Sensor,PWM
[0;32mI (27) boot: Multicore 92,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
193,20
193,20
193,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
192,20
192,20
192,20
193,20
193,20
193,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
192,20
192,20
192,20
192,20
192,20
193,20
193,20
192,20
193,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
193,20
193,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
192,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
192,20
192,20
192,20
192,20
192,20
193,20
193,20
192,20
192,20
192,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
192,20
193,20
193,20
193,20
193,20
193,20
192,20
193,20
193,20
193,20
192,20
193,20
192,20
193,20
193,20
193,20
192,20
192,20
193,20
193,20
192,20
193,20
193,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
193,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
193,20
193,20
193,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
192,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
