Sensor,PWM
[0;32mI (27) boot: Multicore 2,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
