Time,U,Y,X1,X2,X3
1.15,220.0,-1.0,-1.0,43.32,-7836.8
1.16,221.0,-1.0,-1.0,43.49,-7853.48
1.17,221.0,-1.0,-1.0,43.66,-7871.81
1.18,222.0,-1.0,-1.0,43.84,-7891.68
1.19,222.0,-1.0,-1.0,44.02,-7913.01
1.2,223.0,-1.0,-1.0,44.21,-7935.67
1.21,224.0,-1.0,-1.0,44.39,-7959.58
1.22,224.0,-1.0,-1.0,44.59,-7984.68
1.23,225.0,-1.0,-1.0,44.78,-8010.87
1.24,226.0,-1.0,-1.0,44.98,-8038.08
1.25,227.0,-1.0,-1.0,45.18,-8066.24
1.26,228.0,-1.0,-1.0,45.38,-8095.31
1.27,229.0,-1.0,-1.0,45.59,-8125.2
1.28,229.0,-1.0,-1.0,45.79,-8155.85
1.29,230.0,-1.0,-1.0,46.0,-8187.23
1.3,231.0,-1.0,-1.0,46.22,-8219.28
1.31,232.0,-1.0,-1.0,46.43,-8251.96
1.32,233.0,-1.0,-1.0,46.64,-8285.21
1.33,234.0,-1.0,-1.0,46.86,-8319.0
1.34,235.0,-1.0,-1.0,47.08,-8353.3
1.35,236.0,-1.0,-1.0,47.3,-8388.06
1.36,237.0,-1.0,-1.0,47.52,-8423.24
1.37,238.0,-1.0,-1.0,47.74,-8458.82
1.38,239.0,-1.0,-1.0,47.96,-8494.78
1.39,240.0,-1.0,-1.0,48.19,-8531.09
1.4,241.0,-1.0,-1.0,48.41,-8567.7
1.41,242.0,-1.0,-1.0,48.64,-8604.61
1.42,243.0,-1.0,-1.0,48.86,-8641.78
1.43,244.0,-1.0,-1.0,49.09,-8679.21
1.44,245.0,-1.0,-1.0,49.32,-8716.88
1.45,246.0,-1.0,-1.0,49.55,-8754.73
1.46,247.0,-1.0,-1.0,49.77,-8792.79
1.47,249.0,-1.0,-1.0,50.0,-8831.04
1.48,250.0,-1.0,-1.0,50.23,-8869.42
1.49,251.0,-1.0,-1.0,50.46,-8907.97
1.5,252.0,-1.0,-1.0,50.69,-8946.65
1.51,253.0,-1.0,-1.0,50.92,-8985.46
1.52,254.0,-1.0,-1.0,51.16,-9024.37
1.53,255.0,-1.0,-1.0,51.39,-9063.38
1.54,256.0,-1.0,-1.0,51.62,-9102.49
1.55,257.0,-1.0,-1.0,51.85,-9141.65
1.56,258.0,-1.0,-1.0,52.08,-9180.9
1.57,260.0,-1.0,-1.0,52.32,-9220.24
1.58,261.0,-1.0,-1.0,52.55,-9259.59
1.59,262.0,-1.0,-1.0,52.78,-9298.99
1.6,263.0,-1.0,-1.0,53.01,-9338.46
1.61,264.0,-1.0,-1.0,53.25,-9377.93
1.62,265.0,-1.0,-1.0,53.48,-9417.45
1.63,266.0,-1.0,-1.0,53.71,-9456.99
1.64,267.0,0.0,-0.0,54.62,-9496.8
1.65,-589.0,-1.0,-1.0,54.15,-9539.68
1.66,264.0,-1.0,-1.0,-44.83,19398.34
1.67,646.0,-1.0,-1.0,47.97,-7926.77
1.68,346.0,-1.0,-1.0,97.06,-22249.09
1.69,162.0,-1.0,-1.0,65.36,-12851.02
1.7,262.0,0.0,-0.0,43.29,-6151.2
1.71,-513.0,0.0,0.0,53.59,-9171.93
1.72,-550.0,0.0,0.0,-35.46,16847.16
1.73,-210.0,-1.0,-1.0,-45.73,19439.53
1.74,730.0,0.0,-0.0,-7.07,8124.73
1.75,-218.0,0.0,-0.0,103.3,-24242.24
1.76,-614.0,-1.0,-1.0,-0.8,6110.71
1.77,610.0,-1.0,-1.0,-52.27,21042.61
1.78,838.0,-1.0,-1.0,85.76,-19501.99
1.79,365.0,-1.0,-1.0,119.76,-29312.07
1.8,217.0,-1.0,-1.0,67.61,-13877.06
1.81,381.0,-1.0,-1.0,47.92,-8055.23
1.82,450.0,0.0,-0.0,66.62,-13299.73
1.83,-473.0,-1.0,-1.0,75.01,-15899.5
1.84,339.0,0.0,-0.0,-30.36,15161.69
1.85,-122.0,-1.0,-1.0,56.74,-10672.44
1.86,441.0,0.0,-0.0,8.78,3575.82
1.87,-231.0,0.0,0.0,71.11,-14724.86
1.88,-450.0,0.0,0.0,-3.19,7039.85
1.89,-179.0,-1.0,-1.0,-33.51,15571.84
1.9,820.0,-1.0,-1.0,-4.28,6851.61
1.91,756.0,0.0,-0.0,113.15,-27351.51
1.92,-520.0,0.0,0.0,112.4,-26957.88
1.93,-555.0,-1.0,-1.0,-35.32,16157.3
1.94,831.0,-1.0,-1.0,-47.73,19595.01
1.95,928.0,-1.0,-1.0,111.25,-27056.36
1.96,372.0,-1.0,-1.0,131.39,-32750.41
1.97,262.0,-1.0,-1.0,68.95,-14280.71
1.98,460.0,0.0,-0.0,53.94,-9621.82
1.99,-346.0,-1.0,-1.0,75.33,-16052.81
2.0,424.0,0.0,-0.0,-15.77,10841.86
2.01,-92.0,-1.0,-1.0,67.26,-13767.77
2.02,479.0,-1.0,-1.0,12.08,2416.3
2.03,684.0,-1.0,-1.0,75.05,-16045.1
2.04,466.0,0.0,-0.0,103.09,-23946.49
2.05,-509.0,-1.0,-1.0,79.08,-16995.15
2.06,409.0,-1.0,-1.0,-34.58,16293.98
2.07,834.0,-1.0,-1.0,64.99,-12978.25
2.08,501.0,0.0,-0.0,120.2,-28844.2
2.09,-572.0,0.0,0.0,85.24,-18448.93
2.1,-477.0,0.0,0.0,-40.42,18341.18
2.11,-13.0,0.0,0.0,-36.78,17053.29
2.12,20.0,0.0,0.0,16.25,1352.74
2.13,-137.0,0.0,0.0,22.8,-638.24
2.14,-146.0,0.0,0.0,4.71,4589.93
