Time,U,Y,X1,X2
0.0,0.0,3.0,0.27,-0.01
0.01,-11.0,3.0,0.5,-0.03
0.02,-21.0,3.0,0.69,-0.06
0.03,-28.0,3.0,0.85,-0.11
0.04,-35.0,3.0,0.99,-0.16
0.05,-41.0,3.0,1.12,-0.21
0.06,-46.0,3.0,1.22,-0.27
0.07,-50.0,3.0,1.32,-0.34
0.08,-54.0,3.0,1.4,-0.41
0.09,-57.0,3.0,1.47,-0.48
0.1,-60.0,3.0,1.54,-0.55
0.11,-62.0,3.0,1.6,-0.63
0.12,-64.0,3.0,1.65,-0.7
0.13,-66.0,3.0,1.7,-0.78
0.14,-68.0,3.0,1.74,-0.86
0.15,-69.0,3.0,1.78,-0.94
0.16,-70.0,3.0,1.81,-1.02
0.17,-71.0,3.0,1.84,-1.1
0.18,-72.0,3.0,1.86,-1.19
0.19,-73.0,3.0,1.89,-1.27
0.2,-74.0,3.0,1.91,-1.35
0.21,-74.0,3.0,1.92,-1.43
0.22,-75.0,3.0,1.94,-1.52
0.23,-75.0,3.0,1.95,-1.6
0.24,-76.0,3.0,1.96,-1.68
0.25,-76.0,3.0,1.97,-1.76
0.26,-76.0,3.0,1.98,-1.85
0.27,-77.0,3.0,1.98,-1.93
0.28,-77.0,3.0,1.99,-2.01
0.29,-77.0,3.0,1.99,-2.09
0.3,-77.0,3.0,1.99,-2.17
0.31,-77.0,3.0,1.99,-2.25
0.32,-77.0,3.0,1.99,-2.33
0.33,-77.0,3.0,1.98,-2.41
0.34,-77.0,3.0,1.98,-2.49
0.35,-77.0,3.0,1.97,-2.56
0.36,-77.0,3.0,1.96,-2.64
0.37,-77.0,3.0,1.96,-2.71
0.38,-77.0,3.0,1.95,-2.79
0.39,-77.0,3.0,1.94,-2.86
0.4,-77.0,3.0,1.93,-2.93
0.41,-77.0,3.0,1.91,-3.01
0.42,-77.0,3.0,1.9,-3.08
0.43,-77.0,3.0,1.89,-3.15
0.44,-77.0,3.0,1.87,-3.21
0.45,-77.0,3.0,1.86,-3.28
0.46,-77.0,3.0,1.84,-3.35
0.47,-77.0,3.0,1.83,-3.41
0.48,-77.0,3.0,1.81,-3.48
0.49,-77.0,3.0,1.79,-3.54
0.5,-77.0,3.0,1.77,-3.6
0.51,-78.0,3.0,1.76,-3.66
0.52,-78.0,3.0,1.74,-3.72
0.53,-78.0,3.0,1.72,-3.78
0.54,-78.0,3.0,1.7,-3.83
0.55,-78.0,3.0,1.68,-3.89
