Time,U,Y,X1,X2
0.0,0.0,-1.0,-1.0,0.0
0.01,33.0,-1.0,-1.0,0.04
0.02,32.0,-1.0,-1.0,0.08
0.03,32.0,-1.0,-1.0,0.12
0.04,31.0,-1.0,-1.0,0.15
0.05,31.0,-1.0,-1.0,0.19
0.06,31.0,-1.0,-1.0,0.23
0.07,30.0,-1.0,-1.0,0.27
0.08,30.0,-1.0,-1.0,0.31
0.09,30.0,-1.0,-1.0,0.34
0.1,29.0,-1.0,-1.0,0.38
0.11,29.0,-1.0,-1.0,0.42
0.12,28.0,-1.0,-1.0,0.46
0.13,28.0,-1.0,-1.0,0.49
0.14,28.0,-1.0,-1.0,0.53
0.15,27.0,-1.0,-1.0,0.57
0.16,27.0,-1.0,-1.0,0.6
0.17,27.0,-1.0,-1.0,0.64
0.18,26.0,-1.0,-1.0,0.67
0.19,26.0,-1.0,-1.0,0.71
0.2,26.0,-1.0,-1.0,0.74
0.21,26.0,-1.0,-1.0,0.78
0.22,25.0,-1.0,-1.0,0.81
0.23,25.0,-1.0,-1.0,0.85
0.24,25.0,-1.0,-1.0,0.88
0.25,24.0,-1.0,-1.0,0.91
0.26,24.0,-1.0,-1.0,0.95
0.27,24.0,-1.0,-1.0,0.98
0.28,24.0,-1.0,-1.0,1.01
0.29,24.0,-1.0,-1.0,1.05
0.3,23.0,-1.0,-1.0,1.08
0.31,23.0,-1.0,-1.0,1.11
0.32,23.0,-1.0,-1.0,1.14
0.33,23.0,-1.0,-1.0,1.18
0.34,23.0,-1.0,-1.0,1.21
0.35,22.0,-1.0,-1.0,1.24
0.36,22.0,-1.0,-1.0,1.27
0.37,22.0,-1.0,-1.0,1.3
0.38,22.0,-1.0,-1.0,1.33
0.39,22.0,-1.0,-1.0,1.36
0.4,22.0,-1.0,-1.0,1.39
0.41,22.0,-1.0,-1.0,1.42
0.42,22.0,-1.0,-1.0,1.45
0.43,22.0,-1.0,-1.0,1.48
0.44,22.0,-1.0,-1.0,1.51
0.45,22.0,-1.0,-1.0,1.53
0.46,21.0,-1.0,-1.0,1.56
