Time,Sensor,PWM
10.489872,352,0
10.589882,352,0
10.689878,352,0
10.789876,352,0
10.889879,352,0
10.989882,352,0
11.089883,352,1000
12.589882,352,0
12.689878,352,0
12.789876,352,0
12.889879,352,0
12.989882,352,0
13.089883,352,1000
13.189894,352,1000
13.289888,352,1000
13.389876,352,1000
13.489872,352,1000
13.589882,352,1000
13.689878,352,1000
13.789876,352,1000
13.889879,352,1000
13.989882,352,1000
14.089883,352,0
14.189894,352,0
14.289888,352,0
14.389876,352,0
14.489872,352,0
14.589882,352,0
14.689878,352,0
14.789876,352,0
14.889879,352,0
14.989882,352,0
15.089883,352,1000
15.189894,352,1000
15.289888,352,1000
15.389876,352,1000
15.489872,352,1000
15.589882,352,1000
15.689878,352,1000
15.789876,352,1000
15.889879,352,1000
15.989882,352,1000
16.089884,352,0
16.189894,352,0
16.289888,352,0
16.389875,352,0
16.489872,352,0
16.589882,352,0
16.689884,352,0
16.789877,352,0
16.889879,352,0
16.989882,352,0
17.089890,352,1000
17.189894,352,1000
17.289883,352,1000
17.389889,352,1000
17.489880,352,1000
17.589888,352,1000
17.689880,352,1000
17.789883,352,1000
17.889879,352,1000
17.989882,352,1000
18.089890,352,1000
18.189894,352,1000
18.289883,352,1000
18.389889,352,1000
18.489880,352,1000
18.589888,352,1000
18.689880,352,1000
18.789883,352,1000
18.889879,352,1000
18.989882,352,1000
19.089890,352,0
19.189894,352,0
19.289883,352,0
19.389889,352,0
19.489880,352,0
19.589888,352,0
19.689880,352,0
19.789883,352,0
19.889879,352,0
19.989882,352,0
20.089890,352,1000
20.189894,352,1000
20.289883,352,1000
20.389889,352,1000
20.489880,352,1000
20.589888,352,1000
20.689880,352,1000
20.789883,352,1000
20.889879,352,1000
20.989882,352,1000
21.089890,352,0
21.189894,352,0
21.289883,352,0
21.389889,352,0
21.489880,352,0
21.589888,352,0
21.689880,352,0
21.789883,352,0
21.889879,352,0
21.989882,352,0
22.089890,352,1000
22.189894,352,1000
22.289883,352,1000
22.389889,352,1000
22.489880,352,1000
22.589888,352,1000
22.689880,352,1000
22.789883,352,1000
22.889879,352,1000
22.989882,352,1000
23.089890,352,1000
23.189894,352,1000
23.289883,352,1000
23.389889,352,1000
23.489880,352,1000
23.589888,352,1000
23.689880,352,1000
23.789883,352,1000
23.889879,352,1000
23.989882,352,1000
24.089890,352,0
24.189894,352,0
24.289883,352,0
24.389889,352,0
24.489880,352,0
24.589888,352,0
24.689880,352,0
24.789883,352,0
24.889879,352,0
24.989882,352,0
25.089890,352,0
25.189894,352,0
25.289883,352,0
25.389889,352,0
25.489880,352,0
25.589888,352,0
25.689880,352,0
25.789883,352,0
25.889879,352,0
25.989882,352,0
26.089890,352,1000
26.189894,352,1000
26.289883,352,1000
26.389889,352,1000
26.489880,352,1000
26.589888,352,1000
26.689880,352,1000
26.789883,352,1000
26.889879,352,1000
26.989882,352,1000
27.089890,352,0
27.189894,352,0
27.289883,352,0
27.389889,352,0
27.489880,352,0
27.589888,352,0
27.689880,352,0
27.789883,352,0
27.889879,352,0
27.989882,352,0
28.089890,352,1000
28.189894,351,1000
28.289883,349,1000
28.389889,348,1000
28.489880,347,1000
28.589888,348,1000
0.090271,351,1000
0.189893,350,1000
0.289871,352,1000
0.389874,356,1000
0.489872,0,1000
0.589872,1,1000
0.689868,359,1000
0.789872,355,1000
0.889877,351,1000
0.989874,348,1000
1.089883,349,0
1.189891,351,0
1.289878,353,0
1.389882,355,0
1.489872,355,0
1.589882,354,0
1.689879,351,0
1.789876,349,0
1.889878,349,0
1.989882,350,0
2.089883,352,1000
2.189898,354,1000
2.289879,356,1000
2.389876,356,1000
2.489872,355,1000
2.589882,353,1000
2.689879,351,1000
2.789882,350,1000
