Time,Sensor,PWM
0.090273,151,1000
0.189893,151,1000
0.289871,151,1000
0.389874,151,1000
0.489872,151,1000
0.589872,151,1000
0.689868,151,1000
0.789872,151,1000
0.889877,151,1000
0.989874,151,1000
1.089883,151,0
1.189892,151,0
1.289878,151,0
1.389882,151,0
1.489872,151,0
1.589882,151,0
1.689879,151,0
1.789876,151,0
1.889878,151,0
1.989882,151,0
2.089883,151,1000
2.189898,151,1000
2.289879,152,1000
2.389876,153,1000
2.489872,154,1000
2.589882,156,1000
2.689879,158,1000
2.789882,158,1000
2.889872,159,1000
2.989888,159,1000
3.089883,159,1000
3.189898,159,1000
3.289879,159,1000
3.389876,159,1000
3.489872,159,1000
3.589882,159,1000
3.689879,159,1000
3.789882,159,1000
3.889872,159,1000
3.989888,159,1000
4.089883,159,0
4.189898,159,0
4.289879,159,0
4.389876,159,0
4.489878,159,0
4.589876,159,0
4.689879,159,0
4.789876,159,0
4.889878,159,0
4.989882,159,0
5.089890,159,1000
5.189892,159,1000
5.289879,159,1000
5.389882,159,1000
5.489872,159,1000
5.589876,159,1000
5.689878,159,1000
5.789882,159,1000
5.889878,159,1000
5.989876,159,1000
6.089890,159,0
6.189898,159,0
6.289872,159,0
6.389876,159,0
6.489872,159,0
6.589882,159,0
6.689879,159,0
6.789882,159,0
6.889872,159,0
6.989882,159,0
7.089883,159,1000
7.189898,158,1000
7.289879,156,1000
7.389876,150,1000
7.489878,150,1000
7.589876,151,1000
7.689879,152,1000
7.789876,150,1000
7.889878,151,1000
7.989882,151,1000
8.089890,151,1000
8.189888,151,1000
8.289887,151,1000
8.389883,151,1000
8.489872,151,1000
8.589876,151,1000
8.689878,151,1000
8.789882,151,1000
8.889872,151,1000
8.989882,151,1000
9.089890,151,0
9.189888,151,0
9.289878,151,0
9.389879,151,0
9.489878,151,0
9.589882,151,0
9.689878,151,0
9.789876,151,0
9.889872,151,0
9.989882,151,0
10.089890,151,0
10.189888,151,0
10.289878,151,0
10.389879,151,0
10.489878,151,0
10.589882,151,0
10.689878,151,0
10.789876,151,0
10.889872,151,0
10.989882,151,0
11.089890,151,1000
11.189888,151,1000
11.289878,151,1000
11.389879,151,1000
11.489878,151,1000
11.589882,151,1000
11.689878,151,1000
11.789876,151,1000
11.889872,151,1000
11.989882,151,1000
12.089890,151,0
12.189888,151,0
12.289878,151,0
12.389879,151,0
12.489878,151,0
12.589882,151,0
12.689878,151,0
12.789876,151,0
12.889872,151,0
12.989882,151,0
13.089890,151,1000
13.189888,151,1000
13.289878,151,1000
13.389879,151,1000
13.489878,151,1000
13.589882,151,1000
13.689878,151,1000
13.789876,151,1000
13.889872,151,1000
13.989882,151,1000
14.089890,151,0
14.189888,151,0
14.289878,151,0
14.389879,151,0
14.489878,151,0
14.589882,151,0
14.689878,151,0
14.789876,151,0
14.889872,151,0
14.989882,151,0
15.089890,151,1000
15.189888,152,1000
15.289878,155,1000
15.389879,158,1000
15.489878,158,1000
15.589882,159,1000
15.689878,159,1000
15.789876,159,1000
15.889872,159,1000
15.989882,159,1000
16.089890,159,0
16.189888,159,0
16.289883,159,0
16.389875,159,0
16.489878,159,0
16.589882,159,0
16.689878,159,0
16.789877,159,0
16.889879,159,0
16.989882,159,0
17.089884,159,1000
17.189898,159,1000
17.289881,159,1000
17.389881,159,1000
17.489872,159,1000
17.589882,159,1000
17.689878,159,1000
17.789877,159,1000
17.889879,159,1000
17.989882,159,1000
18.089884,159,1000
18.189898,159,1000
18.289881,159,1000
18.389881,159,1000
18.489872,159,1000
18.589882,159,1000
18.689878,159,1000
18.789877,159,1000
18.889879,159,1000
18.989882,159,1000
19.089884,159,0
19.189898,159,0
19.289881,159,0
19.389881,159,0
19.489872,159,0
19.589882,159,0
19.689878,159,0
19.789877,159,0
19.889879,159,0
19.989882,159,0
20.089884,159,1000
20.189898,159,1000
20.289881,159,1000
20.389881,159,1000
20.489872,159,1000
20.589882,159,1000
20.689878,159,1000
20.789877,159,1000
20.889879,159,1000
20.989882,159,1000
21.089884,159,0
21.189898,159,0
21.289881,159,0
21.389881,159,0
21.489872,159,0
21.589882,159,0
21.689878,159,0
21.789877,159,0
21.889879,159,0
21.989882,159,0
22.089884,159,1000
22.189898,158,1000
22.289881,155,1000
22.389881,150,1000
22.489872,151,1000
22.589882,151,1000
22.689878,152,1000
22.789877,151,1000
22.889879,151,1000
22.989882,151,1000
23.089884,151,1000
23.189898,151,1000
23.289881,151,1000
23.389881,151,1000
23.489872,151,1000
23.589882,151,1000
23.689878,151,1000
23.789877,151,1000
23.889879,151,1000
23.989882,151,1000
24.089884,151,0
24.189898,151,0
24.289881,151,0
24.389881,151,0
24.489872,151,0
24.589882,151,0
24.689878,151,0
24.789877,151,0
24.889879,151,0
24.989882,151,0
25.089884,151,0
25.189898,151,0
25.289881,151,0
25.389881,151,0
25.489872,151,0
25.589882,151,0
25.689878,151,0
25.789877,151,0
25.889879,151,0
