Sensor,PWM
[0;32mI (27) boot: Multicore 91,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
192,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
192,20
192,20
192,20
192,20
192,20
191,20
191,20
191,20
191,20
191,20
191,20
192,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
192,20
192,20
192,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
192,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
192,20
192,20
192,20
192,20
191,20
191,20
192,20
192,20
191,20
191,20
192,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
193,20
194,20
194,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
191,20
193,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
193,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
194,20
