Sensor,PWM
[0;32mI (27) boot: compi2,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
191,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
191,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
191,20
191,20
191,20
191,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
191,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
191,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
191,20
191,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
191,20
192,20
192,20
191,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
191,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
191,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
192,20
191,20
192,20
192,20
192,20
191,20
191,20
191,20
191,20
192,20
191,20
191,20
191,20
192,20
192,20
192,20
191,20
191,20
191,20
192,20
191,20
191,20
191,20
192,20
192,20
191,20
192,20
192,20
192,20
192,20
192,20
191,20
191,20
191,20
191,20
191,20
192,20
192,20
192,20
191,20
